"CDMunicipio","NRUORG"
"1700301","038000000"
"1700350","038000000"
"1700400","038000000"
"1700707","038000000"
"1701002","038000000"
"1701051","038000000"
"1701101","038000000"
"1701309","038000000"
"1701903","038000000"
"1702000","038000000"
"1702109","038000000"
"1702158","038000000"
"1702208","038000000"
"1702307","038000000"
"1702406","014000000"
"1702554","038000000"
"1702703","038000000"
"1702901","038000000"
"1703008","038000000"
"1703057","038000000"
"1703073","038000000"
"1703107","038000000"
"1703206","038000000"
"1703305","038000000"
"1703602","038000000"
"1703701","038000000"
"1703800","038000000"
"1703826","038000000"
"1703842","038000000"
"1703867","038000000"
"1703883","038000000"
"1703891","038000000"
"1703909","038000000"
"1704105","038000000"
"1704600","038000000"
"1705102","038000000"
"1705508","038000000"
"1705557","014000000"
"1705607","038000000"
"1706001","038000000"
"1706100","038000000"
"1706258","038000000"
"1706506","038000000"
"1707009","038000000"
"1707108","038000000"
"1707207","038000000"
"1707306","038000000"
"1707405","038000000"
"1707553","038000000"
"1707652","038000000"
"1707702","038000000"
"1708205","038000000"
"1708254","038000000"
"1708304","038000000"
"1709005","038000000"
"1709302","038000000"
"1709500","038000000"
"1709807","038000000"
"1710508","038000000"
"1710706","038000000"
"1710904","038000000"
"1711100","038000000"
"1711506","038000000"
"1711803","038000000"
"1711902","038000000"
"1711951","038000000"
"1712009","038000000"
"1712157","038000000"
"1712405","038000000"
"1712454","038000000"
"1712504","038000000"
"1712702","038000000"
"1712801","038000000"
"1713205","038000000"
"1713304","038000000"
"1713601","038000000"
"1713700","038000000"
"1713809","038000000"
"1713957","038000000"
"1714203","038000000"
"1714302","038000000"
"1714880","038000000"
"1715002","038000000"
"1715101","038000000"
"1715150","014000000"
"1715259","038000000"
"1715507","038000000"
"1715705","038000000"
"1715754","038000000"
"1716109","038000000"
"1716208","038000000"
"1716307","038000000"
"1716505","038000000"
"1716604","038000000"
"1716653","038000000"
"1716703","038000000"
"1717008","038000000"
"1717206","038000000"
"1717503","038000000"
"1717800","038000000"
"1717909","038000000"
"1718006","038000000"
"1718204","038000000"
"1718303","038000000"
"1718402","038000000"
"1718451","038000000"
"1718501","038000000"
"1718550","038000000"
"1718659","038000000"
"1718709","038000000"
"1718758","038000000"
"1718808","038000000"
"1718840","038000000"
"1718865","038000000"
"1718881","038000000"
"1718899","038000000"
"1718907","038000000"
"1719004","038000000"
"1720002","038000000"
"1720101","038000000"
"1720150","038000000"
"1720200","038000000"
"1720259","038000000"
"1720309","038000000"
"1720499","038000000"
"1720655","038000000"
"1720804","038000000"
"1720853","038000000"
"1720903","038000000"
"1720937","038000000"
"1720978","038000000"
"1721000","038000000"
"1721109","038000000"
"1721208","038000000"
"1721257","038000000"
"1721307","038000000"
"1722081","038000000"
"1722107","038000000"
"2100000",""
"2100055","036902000"
"2100105","036000000"
"2100154","036000000"
"2100204","036000000"
"2100303","036901000"
"2100402","036901000"
"2100436","036000000"
"2100477","036000000"
"2100501","036902000"
"2100550","036000000"
"2100600","036902000"
"2100709","036000000"
"2100808","036000000"
"2100832","036000000"
"2100873","036000000"
"2100907","036000000"
"2100956","036000000"
"2101004","036000000"
"2101103","036000000"
"2101202","036901000"
"2101251","036000000"
"2101301","036000000"
"2101350","036000000"
"2101400","036902000"
"2101509","036902000"
"2101608","036000000"
"2101707","036000000"
"2101731","036000000"
"2101772","036000000"
"2101806","036902000"
"2101905","036000000"
"2101939","036000000"
"2101970","036000000"
"2102002","036000000"
"2102036","036902000"
"2102077","036000000"
"2102101","036000000"
"2102150","036000000"
"2102200","036901000"
"2102309","036000000"
"2102325","036902000"
"2102358","036902000"
"2102374","036000000"
"2102408","036000000"
"2102507","036000000"
"2102556","036902000"
"2102606","036000000"
"2102705","036000000"
"2102754","036000000"
"2102804","036902000"
"2102903","036000000"
"2103000","036000000"
"2103109","036000000"
"2103125","036000000"
"2103158","036000000"
"2103174","036000000"
"2103208","036000000"
"2103257","036000000"
"2103307","036000000"
"2103406","036000000"
"2103505","036000000"
"2103554","036000000"
"2103604","036901000"
"2103703","036000000"
"2103752","036902000"
"2103802","036000000"
"2103901","036000000"
"2104008","036000000"
"2104057","036902000"
"2104073","036902000"
"2104081","036902000"
"2104099","036000000"
"2104107","036902000"
"2104206","036000000"
"2104305","036000000"
"2104404","036000000"
"2104503","036000000"
"2104552","036902000"
"2104602","036901000"
"2104628","036000000"
"2104651","036000000"
"2104677","036000000"
"2104701","036000000"
"2104800","036902000"
"2104909","036000000"
"2105005","036000000"
"2105104","036000000"
"2105153","036000000"
"2105203","036000000"
"2105302","036902000"
"2105351","036000000"
"2105401","036000000"
"2105427","036902000"
"2105450","036000000"
"2105476","036000000"
"2105500","036902000"
"2105609","036000000"
"2105658","036000000"
"2105708","036901000"
"2105807","036000000"
"2105906","036901000"
"2105922","036000000"
"2105948","036000000"
"2105963","036000000"
"2105989","036902000"
"2106003","036000000"
"2106102","036902000"
"2106201","036000000"
"2106300","036000000"
"2106326","036000000"
"2106359","036000000"
"2106375","036000000"
"2106409","036000000"
"2106508","036000000"
"2106607","036000000"
"2106631","036000000"
"2106672","036000000"
"2106706","036902000"
"2106755","036000000"
"2106805","036000000"
"2106904","036000000"
"2107001","036902000"
"2107100","036000000"
"2107209","036000000"
"2107258","036902000"
"2107308","036902000"
"2107357","036000000"
"2107407","036901000"
"2107456","036000000"
"2107506","036000000"
"2107605","036000000"
"2107704","036000000"
"2107803","036000000"
"2107902","036000000"
"2108009","036902000"
"2108058","036000000"
"2108108","036901000"
"2108207","036000000"
"2108256","036000000"
"2108306","036000000"
"2108405","036000000"
"2108454","036000000"
"2108504","036000000"
"2108603","036000000"
"2108702","036901000"
"2108801","036000000"
"2108900","036000000"
"2109007","036902000"
"2109056","036000000"
"2109106","036000000"
"2109205","036000000"
"2109239","036000000"
"2109270","036000000"
"2109304","036000000"
"2109403","036000000"
"2109452","036000000"
"2109502","036902000"
"2109551","036902000"
"2109601","036000000"
"2109700","036902000"
"2109759","036000000"
"2109809","036000000"
"2109908","036000000"
"2110005","036000000"
"2110039","036000000"
"2110104","036000000"
"2110203","036000000"
"2110237","036000000"
"2110278","036000000"
"2110302","036000000"
"2110401","036000000"
"2110500","036000000"
"2110609","036000000"
"2110658","036902000"
"2110708","036000000"
"2110807","036902000"
"2110856","036000000"
"2110906","036000000"
"2111003","036000000"
"2111029","036000000"
"2111052","036902000"
"2111078","036000000"
"2111102","036000000"
"2111201","036000000"
"2111250","036000000"
"2111300","036000000"
"2111409","036901000"
"2111508","036901000"
"2111532","036000000"
"2111573","036902000"
"2111607","036902000"
"2111631","036000000"
"2111672","036000000"
"2111706","036000000"
"2111722","036000000"
"2111748","036000000"
"2111763","036902000"
"2111789","036000000"
"2111805","036902000"
"2111904","036902000"
"2111953","036000000"
"2112001","036902000"
"2112100","036000000"
"2112209","036000000"
"2112233","036000000"
"2112274","036000000"
"2112308","036000000"
"2112407","036000000"
"2112456","036000000"
"2112506","036000000"
"2112605","036901000"
"2112704","036000000"
"2112803","036000000"
"2112852","036000000"
"2112902","036000000"
"2113009","036901000"
"2114007","036000000"
"2200000",""
"2200053","037000000"
"2200103","037000000"
"2200202","037000000"
"2200251","037000000"
"2200277","037000000"
"2200301","037000000"
"2200400","037000000"
"2200459","037000000"
"2200509","037000000"
"2200608","037000000"
"2200707","037000000"
"2200806","037000000"
"2200905","037000000"
