"CDSubclasse","CDSecao"
"2441502","C"
"2442300","C"
"2443100","C"
"2449101","C"
"2449102","C"
"2449103","C"
"2449199","C"
"2451200","C"
"2452100","C"
"2511000","C"
"2512800","C"
"2513600","C"
"2521700","C"
"2522500","C"
"2531401","C"
"2531402","C"
"2532201","C"
"2532202","C"
"2539000","C"
"2539001","C"
"2539002","C"
"2541100","C"
"2542000","C"
"2543800","C"
"2550101","C"
"2550102","C"
"2591800","C"
"2592601","C"
"2592602","C"
"2593400","C"
"2599301","C"
"2599302","C"
"2599399","C"
"2610800","C"
"2621300","C"
"2622100","C"
"2631100","C"
"2632900","C"
"2640000","C"
"2651500","C"
"2652300","C"
"2660400","C"
"2670101","C"
"2670102","C"
"2680900","C"
"2710401","C"
"2710402","C"
"2710403","C"
"2721000","C"
"2722801","C"
"2722802","C"
"2731700","C"
"2732500","C"
"2733300","C"
"2740601","C"
"2740602","C"
"2751100","C"
"2759701","C"
"2759799","C"
"2790201","C"
"2790202","C"
"2790299","C"
"2811900","C"
"2812700","C"
"2813500","C"
"2814301","C"
"2814302","C"
"2815101","C"
"2815102","C"
"2821601","C"
"2821602","C"
"2822401","C"
"2822402","C"
"2823200","C"
"2824101","C"
"2824102","C"
"2825900","C"
"2829101","C"
"2829199","C"
"2831300","C"
"2832100","C"
"2833000","C"
"2840200","C"
"2851800","C"
"2852600","C"
"2853400","C"
"2854200","C"
"2861500","C"
"2862300","C"
"2863100","C"
"2864000","C"
"2865800","C"
"2866600","C"
"2869100","C"
"2910701","C"
"2910702","C"
"2910703","C"
"2920401","C"
"2920402","C"
"2930101","C"
"2930102","C"
"2930103","C"
"2941700","C"
"2942500","C"
"2943300","C"
"2944100","C"
"2945000","C"
"2949201","C"
"2949299","C"
"2950600","C"
"3011301","C"
"3011302","C"
"3012100","C"
"3031800","C"
"3032600","C"
"3041500","C"
"3042300","C"
"3050400","C"
"3091101","C"
"3091102","C"
"3092000","C"
"3099700","C"
"3101200","C"
"3102100","C"
"3103900","C"
"3104700","C"
"3211601","C"
"3211602","C"
"3211603","C"
"3212400","C"
"3220500","C"
"3230200","C"
"3240001","C"
"3240002","C"
"3240003","C"
"3240099","C"
"3250701","C"
"3250702","C"
"3250703","C"
"3250704","C"
"3250705","C"
"3250706","C"
"3250707","C"
"3250709","C"
"3291400","C"
"3292201","C"
"3292202","C"
"3299001","C"
"3299002","C"
"3299003","C"
"3299004","C"
"3299005","C"
"3299006","C"
"3299099","C"
"3311200","C"
"3312102","C"
"3312103","C"
"3312104","C"
"3313901","C"
"3313902","C"
"3313999","C"
"3314701","C"
"3314702","C"
"3314703","C"
"3314704","C"
"3314705","C"
"3314706","C"
"3314707","C"
"3314708","C"
"3314709","C"
"3314710","C"
"3314711","C"
"3314712","C"
"3314713","C"
"3314714","C"
"3314715","C"
"3314716","C"
"3314717","C"
"3314718","C"
"3314719","C"
"3314720","C"
"3314721","C"
"3314722","C"
"3314799","C"
"3315500","C"
"3316301","C"
"3316302","C"
"3317101","C"
"3317102","C"
"3319800","C"
"3321000","C"
"3329501","C"
"3329599","C"
"3511500","D"
"3511501","D"
"3511502","D"
"3512300","D"
"3513100","D"
"3514000","D"
"3520401","D"
"3520402","D"
"3530100","D"
"3600601","E"
"3600602","E"
"3701100","E"
"3702900","E"
"3811400","E"
"3812200","E"
"3821100","E"
"3822000","E"
"3831901","E"
"3831999","E"
"3832700","E"
"3839401","E"
"3839499","E"
"3900500","E"
"4110700","F"
"4120400","F"
"4211101","F"
"4211102","F"
"4212000","F"
"4213800","F"
"4221901","F"
"4221902","F"
"4221903","F"
"4221904","F"
"4221905","F"
"4222701","F"
"4222702","F"
"4223500","F"
"4291000","F"
"4292801","F"
"4292802","F"
"4299501","F"
"4299599","F"
"4311801","F"
"4311802","F"
"4312600","F"
"4313400","F"
"4319300","F"
"4321500","F"
"4322301","F"
"4322302","F"
"4322303","F"
"4329101","F"
"4329102","F"
"4329103","F"
"4329104","F"
"4329105","F"
"4329199","F"
"4330401","F"
"4330402","F"
"4330403","F"
"4330404","F"
"4330405","F"
"4330499","F"
"4391600","F"
"4399101","F"
"4399102","F"
"4399103","F"
"4399104","F"
"4399105","F"
"4399199","F"
"4511101","G"
"4511102","G"
"4511103","G"
"4511104","G"
"4511105","G"
"4511106","G"
"4512901","G"
"4512902","G"
"4520001","G"
"4520002","G"
"4520003","G"
"4520004","G"
"4520005","G"
"4520006","G"
"4520007","G"
"4520008","G"
"4530701","G"
"4530702","G"
"4530703","G"
"4530704","G"
"4530705","G"
"4530706","G"
"4541201","G"
"4541202","G"
"4541203","G"
"4541204","G"
"4541205","G"
"4541206","G"
"4541207","G"
"4542101","G"
"4542102","G"
"4543900","G"
"4611700","G"
"4612500","G"
"4613300","G"
"4614100","G"
"4615000","G"
"4616800","G"
"4617600","G"
"4618401","G"
"4618402","G"
"4618403","G"
"4618499","G"
"4619200","G"
"4621400","G"
"4622200","G"
"4623101","G"
"4623102","G"
"4623103","G"
"4623104","G"
"4623105","G"
"4623106","G"
"4623107","G"
"4623108","G"
"4623109","G"
"4623199","G"
"4631100","G"
"4632001","G"
"4632002","G"
"4632003","G"
"4633801","G"
"4633802","G"
"4633803","G"
"4634601","G"
"4634602","G"
"4634603","G"
"4634699","G"
"4635401","G"
"4635402","G"
"4635403","G"
"4635499","G"
"4636201","G"
"4636202","G"
"4637101","G"
"4637102","G"
"4637103","G"
"4637104","G"
"4637105","G"
"4637106","G"
"4637107","G"
"4637199","G"
"4639701","G"
"4639702","G"
"4641901","G"
"4641902","G"
"4641903","G"
"4642701","G"
"4642702","G"
"4643501","G"
"4643502","G"
"4644301","G"
"4644302","G"
"4645101","G"
"4645102","G"
"4645103","G"
"4646001","G"
"4646002","G"
"4647801","G"
"4647802","G"
"4649401","G"
"4649402","G"
"4649403","G"
"4649404","G"
"4649405","G"
"4649406","G"
"4649407","G"
"4649408","G"
"4649409","G"
"4649410","G"
"4649499","G"
"4651601","G"
"4651602","G"
"4652400","G"
"4661300","G"
"4662100","G"
"4663000","G"
"4664800","G"
"4665600","G"
"4669901","G"
"4669999","G"
"4671100","G"
"4672900","G"
"4673700","G"
"4674500","G"
"4679601","G"
"4679602","G"
"4679603","G"
"4679604","G"
"4679699","G"
"4681801","G"
"4681802","G"
"4681803","G"
"4681804","G"
"4681805","G"
"4682600","G"
"4683400","G"
"4684201","G"
"4684202","G"
"4684299","G"
"4685100","G"
"4686901","G"
"4686902","G"
"4687701","G"
"4687702","G"
"4687703","G"
"4689301","G"
"4689302","G"
"4689399","G"
"4691500","G"
"4692300","G"
"4693100","G"
"4711301","G"
"4711302","G"
"4712100","G"
"4713001","G"
"4713002","G"
"4713003","G"
"4713004","G"
"4713005","G"
"4721101","G"
"4721102","G"
"4721103","G"
"4721104","G"
"4722901","G"
"4722902","G"
"4723700","G"
"4724500","G"
"4729601","G"
"4729602","G"
"4729699","G"
"4731800","G"
"4732600","G"
"4741500","G"
"4742300","G"
"4743100","G"
"4744001","G"
"4744002","G"
"4744003","G"
"4744004","G"
"4744005","G"
"4744006","G"
"4744099","G"
"4751201","G"
"4751202","G"
"4752100","G"
"4753900","G"
"4754701","G"
"4754702","G"
"4754703","G"
"4755501","G"
"4755502","G"
"4755503","G"
"4756300","G"
"4757100","G"
"4759801","G"
"4759899","G"
"4761001","G"
"4761002","G"
"4761003","G"
"4762800","G"
"4763601","G"
"4763602","G"
"4763603","G"
"4763604","G"
"4763605","G"
"4771701","G"
"4771702","G"
"4771703","G"
"4771704","G"
"4772500","G"
"4773300","G"
"4774100","G"
"4781400","G"
"4782201","G"
"4782202","G"
"4783101","G"
"4783102","G"
"4784900","G"
"4785701","G"
"4785799","G"
"4789001","G"
"4789002","G"
"4789003","G"
"4789004","G"
"4789005","G"
"4789006","G"
"4789007","G"
"4789008","G"
"4789009","G"
"4789099","G"
"4911600","H"
"4912401","H"
"4912402","H"
"4912403","H"
"4921301","H"
"4921302","H"
"4922101","H"
"4922102","H"
"4922103","H"
"4923001","H"
"4923002","H"
"4924800","H"
"4929901","H"
"4929902","H"
"4929903","H"
"4929904","H"
"4929999","H"
"4930201","H"
"4930202","H"
"4930203","H"
"4930204","H"
"4940000","H"
"4950700","H"
"5011401","H"
"5011402","H"
"5012201","H"
"5012202","H"
"5021101","H"
"5021102","H"
"5022001","H"
"5022002","H"
"5030101","H"
"5030102","H"
"5030103","H"
"5091201","H"
"5091202","H"
"5099801","H"
"5099899","H"
"5111100","H"
"5112901","H"
"5112999","H"
"5120000","H"
"5130700","H"
"5211701","H"
"5211702","H"
"5211799","H"
"5212500","H"
"5221400","H"
"5222200","H"
"5223100","H"
"5229001","H"
"5229002","H"
"5229099","H"
"5231101","H"
"5231102","H"
"5231103","H"
"5232000","H"
"5239700","H"
"5239701","H"
"5239799","H"
"5240101","H"
"5240199","H"
"5250801","H"
"5250802","H"
"5250803","H"
"5250804","H"
"5250805","H"
"5310501","H"
"5310502","H"
"5320201","H"
"5320202","H"
"5510801","I"
"5510802","I"
"5510803","I"
"5590601","I"
"5590602","I"
"5590603","I"
"5590699","I"
"5611201","I"
"5611202","I"
"5611203","I"
"5611204","I"
"5611205","I"
"5612100","I"
"5620101","I"
"5620102","I"
"5620103","I"
"5620104","I"
"5811500","J"
"5812300","J"
"5812301","J"
"5812302","J"
"5813100","J"
"5819100","J"
"5821200","J"
"5822100","J"
"5822101","J"
"5822102","J"
"5823900","J"
"5829800","J"
"5911101","J"
"5911102","J"
"5911199","J"
"5912001","J"
"5912002","J"
"5912099","J"
"5913800","J"
"5914600","J"
"5920100","J"
"6010100","J"
"6021700","J"
"6022501","J"
"6022502","J"
"6110801","J"
"6110802","J"
"6110803","J"
"6110899","J"
"6120501","J"
"6120502","J"
"6120599","J"
"6130200","J"
"6141800","J"
